"Ligand"	"Vss"
"smallMol_144"	"0.3"
"smallMol_145"	"0.94"
"smallMol_146"	"0.55"
"smallMol_147"	"0.26"
"smallMol_148"	1
"smallMol_149"	"0.21"
"smallMol_150"	"0.13"
"smallMol_151"	"0.19"
"smallMol_152"	"0.22"
"smallMol_153"	"0.11"
"smallMol_154"	"0.77"
"smallMol_155"	"0.097"
"smallMol_156"	"0.44"
"smallMol_157"	"4.1"
"smallMol_158"	"2.8"
"smallMol_159"	"4.8"
"smallMol_160"	"4.1"
"smallMol_161"	"6.5"
"smallMol_162"	"0.42"
"smallMol_163"	"0.52"
"smallMol_164"	"2.1"
"smallMol_165"	"3.3"
"smallMol_166"	2
"smallMol_167"	"3.4"
"smallMol_168"	"1.2"
"smallMol_169"	"1.3"
"smallMol_170"	12
"smallMol_171"	"0.28"
"smallMol_172"	22
"smallMol_173"	"1.9"
"smallMol_174"	"1.1"
"smallMol_175"	"1.6"
"smallMol_176"	2
"smallMol_177"	"0.38"
"smallMol_178"	"2.2"
"smallMol_179"	"2.2"
"smallMol_180"	2
"smallMol_181"	"0.63"
"smallMol_182"	"0.27"
"smallMol_183"	"0.54"
"smallMol_184"	"0.17"
"smallMol_185"	"0.17"
"smallMol_186"	"3.6"
"smallMol_187"	"0.95"
"smallMol_188"	"1.2"
"smallMol_189"	"1.2"
"smallMol_190"	"0.26"
"smallMol_191"	"1.7"
"smallMol_192"	"4.3"
"smallMol_193"	"2.1"
"smallMol_194"	"2.7"
"smallMol_195"	"0.18"
"smallMol_196"	"1.2"
"smallMol_197"	"4.4"
"smallMol_198"	"1.2"
"smallMol_199"	45
"smallMol_200"	"1.8"
"smallMol_201"	3
"smallMol_202"	"0.89"
"smallMol_203"	"1.1"
"smallMol_204"	"6.1"
"smallMol_205"	"1.6"
"smallMol_206"	"0.19"
"smallMol_207"	"0.75"
"smallMol_208"	"0.68"
"smallMol_209"	"2.2"
"smallMol_210"	"0.8"
"smallMol_211"	"1.9"
"smallMol_212"	"0.14"
"smallMol_213"	"1.1"
"smallMol_214"	"3.6"
"smallMol_215"	"0.42"
"smallMol_216"	"0.25"
"smallMol_217"	"0.32"
"smallMol_218"	"0.12"
"smallMol_219"	"0.71"
"smallMol_220"	"2.3"
"smallMol_221"	1
"smallMol_222"	"1.7"
"smallMol_223"	"1.5"
"smallMol_224"	"0.46"
"smallMol_225"	"0.62"
"smallMol_226"	"0.91"
"smallMol_227"	"0.19"
"smallMol_228"	"0.16"
"smallMol_229"	"0.08"
"smallMol_230"	"3.7"
"smallMol_231"	17
"smallMol_232"	"1.1"
"smallMol_233"	"1.5"
"smallMol_234"	"0.38"
"smallMol_235"	"2.2"
"smallMol_236"	"4.3"
"smallMol_237"	700
"smallMol_238"	"0.52"
"smallMol_239"	"0.25"
"smallMol_240"	"0.55"
"smallMol_241"	"0.15"
"smallMol_242"	38
"smallMol_243"	"3.3"
"smallMol_244"	"4.4"
"smallMol_245"	"0.62"
"smallMol_246"	"0.33"
"smallMol_247"	"5.6"
"smallMol_248"	"0.37"
"smallMol_249"	"0.24"
"smallMol_250"	12
"smallMol_251"	"1.9"
"smallMol_252"	"0.82"
"smallMol_253"	"0.035"
"smallMol_254"	"0.096"
"smallMol_255"	"4.9"
"smallMol_256"	11
"smallMol_257"	"0.16"
"smallMol_258"	"0.28"
"smallMol_259"	"0.17"
"smallMol_260"	"0.94"
"smallMol_261"	"3.5"
"smallMol_262"	"0.32"
"smallMol_263"	"0.82"
"smallMol_264"	"1.5"
"smallMol_265"	"1.9"
"smallMol_266"	"0.7"
"smallMol_267"	"0.19"
"smallMol_268"	"1.5"
"smallMol_269"	"7.4"
"smallMol_270"	"2.9"
"smallMol_271"	"3.9"
"smallMol_272"	"0.48"
"smallMol_273"	"0.13"
"smallMol_274"	"0.11"
"smallMol_275"	"4.8"
"smallMol_276"	"0.29"
"smallMol_277"	"1.3"
"smallMol_278"	"0.28"
"smallMol_279"	"1.9"
"smallMol_280"	"0.38"
"smallMol_281"	"1.7"
"smallMol_282"	"1.2"
"smallMol_283"	12
"smallMol_284"	"1.5"
"smallMol_285"	"0.24"
"smallMol_286"	"1.8"
"smallMol_287"	1
"smallMol_288"	"0.58"
"smallMol_289"	"0.89"
"smallMol_290"	"1.3"
"smallMol_291"	"6.6"
"smallMol_292"	"1.6"
"smallMol_293"	"0.37"
"smallMol_294"	"0.24"
"smallMol_295"	45
"smallMol_296"	"1.2"
"smallMol_297"	"0.15"
"smallMol_298"	14
"smallMol_299"	"0.48"
"smallMol_300"	"2.3"
"smallMol_301"	"0.95"
"smallMol_302"	"0.7"
"smallMol_303"	"3.3"
"smallMol_304"	"0.3"
"smallMol_305"	"0.64"
"smallMol_306"	"4.3"
"smallMol_307"	"0.32"
"smallMol_308"	"0.86"
"smallMol_309"	"1.1"
"smallMol_310"	"0.43"
"smallMol_311"	"0.69"
"smallMol_312"	"2.2"
"smallMol_313"	"1.2"
"smallMol_314"	"3.2"
"smallMol_315"	"1.6"
"smallMol_316"	"3.1"
"smallMol_317"	"0.4"
"smallMol_318"	"5.9"
"smallMol_319"	"0.09"
"smallMol_320"	"3.1"
"smallMol_321"	"1.1"
"smallMol_322"	"0.28"
"smallMol_323"	"0.25"
"smallMol_324"	"1.6"
"smallMol_325"	"4.2"
"smallMol_326"	12
"smallMol_327"	"1.1"
"smallMol_328"	"0.15"
"smallMol_329"	"2.3"
"smallMol_330"	"0.17"
"smallMol_331"	"1.8"
"smallMol_332"	"1.9"
"smallMol_333"	"0.22"
"smallMol_334"	"4.6"
"smallMol_335"	"8.2"
"smallMol_336"	"1.7"
"smallMol_337"	"7.6"
"smallMol_338"	"2.4"
"smallMol_339"	"0.15"
"smallMol_340"	11
"smallMol_341"	"0.51"
"smallMol_342"	"5.6"
"smallMol_343"	"0.74"
"smallMol_344"	"0.073"
"smallMol_345"	"1.3"
"smallMol_346"	1
"smallMol_347"	"2.6"
"smallMol_348"	"0.79"
"smallMol_349"	"1.1"
"smallMol_350"	"5.5"
"smallMol_351"	"1.7"
"smallMol_352"	"6.1"
"smallMol_353"	"0.57"
"smallMol_354"	1
"smallMol_355"	6
"smallMol_356"	22
"smallMol_357"	"1.6"
"smallMol_358"	"0.07"
"smallMol_359"	"0.24"
"smallMol_360"	"1.8"
"smallMol_361"	"0.19"
"smallMol_362"	"0.59"
"smallMol_363"	"0.55"
"smallMol_364"	"0.85"
"smallMol_365"	"2.5"
"smallMol_366"	"1.7"
"smallMol_367"	3
"smallMol_368"	"0.19"
"smallMol_369"	"0.17"
"smallMol_370"	"0.95"
"smallMol_371"	18
"smallMol_372"	"1.5"
"smallMol_373"	"1.1"
"smallMol_374"	"0.24"
"smallMol_375"	53
"smallMol_376"	"3.4"
"smallMol_377"	"0.91"
"smallMol_378"	"1.8"
"smallMol_379"	"0.76"
"smallMol_380"	18
"smallMol_381"	"1.4"
"smallMol_382"	"6.9"
"smallMol_383"	"0.3"
"smallMol_384"	"0.54"
"smallMol_385"	"0.41"
"smallMol_386"	"2.04"
"smallMol_387"	"1.2"
"smallMol_388"	"0.27"
"smallMol_389"	"0.17"
"smallMol_390"	"4.7"
"smallMol_391"	"1.4"
"smallMol_392"	"0.73"
"smallMol_393"	"0.86"
"smallMol_394"	"0.57"
"smallMol_395"	"3.7"
"smallMol_396"	4
"smallMol_397"	"0.13"
"smallMol_398"	22
"smallMol_399"	"0.74"
"smallMol_400"	"8.1"
"smallMol_401"	14
"smallMol_402"	"2.2"
"smallMol_403"	"4.7"
"smallMol_404"	12
"smallMol_405"	"3.1"
"smallMol_406"	"0.34"
"smallMol_407"	"0.43"
"smallMol_408"	"0.12"
"smallMol_409"	45
"smallMol_410"	"0.13"
"smallMol_411"	"2.9"
"smallMol_412"	"0.67"
"smallMol_413"	"0.22"
"smallMol_414"	"1.2"
"smallMol_415"	"1.6"
"smallMol_416"	"0.4"
"smallMol_417"	"0.65"
"smallMol_418"	"0.35"
"smallMol_419"	14
"smallMol_420"	"0.25"
"smallMol_421"	"9.3"
"smallMol_422"	"0.97"
"smallMol_423"	"6.3"
"smallMol_424"	"1.1"
"smallMol_425"	"4.4"
"smallMol_426"	"1.3"
"smallMol_427"	"1.9"
"smallMol_428"	"0.21"
"smallMol_429"	"0.54"
"smallMol_430"	"0.75"
"smallMol_431"	"0.21"
"smallMol_432"	"3.6"
"smallMol_433"	"3.1"
"smallMol_434"	"1.9"
"smallMol_435"	"0.82"
"smallMol_436"	"1.4"
"smallMol_437"	"0.19"
"smallMol_438"	"1.3"
"smallMol_439"	"3.9"
"smallMol_440"	"0.13"
"smallMol_441"	"0.67"
"smallMol_442"	"0.34"
"smallMol_443"	"1.8"
"smallMol_444"	"9.4"
"smallMol_445"	"0.32"
"smallMol_446"	"0.15"
"smallMol_447"	"0.29"
"smallMol_448"	"0.3"
"smallMol_449"	"0.12"
"smallMol_450"	"0.17"
"smallMol_451"	"1.7"
"smallMol_452"	"0.04"
"smallMol_453"	11
"smallMol_454"	"1.2"
"smallMol_455"	"3.3"
"smallMol_456"	"0.21"
"smallMol_457"	"5.3"
"smallMol_458"	"0.5"
"smallMol_459"	"0.41"
"smallMol_460"	"0.19"
"smallMol_461"	"0.98"
"smallMol_462"	"1.5"
"smallMol_463"	"5.1"
"smallMol_464"	"1.2"
"smallMol_465"	"0.95"
"smallMol_466"	"0.51"
"smallMol_467"	"3.3"
"smallMol_468"	"1.6"
"smallMol_469"	"1.1"
"smallMol_470"	"0.16"
"smallMol_471"	4
"smallMol_472"	"1.5"
"smallMol_473"	"0.59"
"smallMol_474"	"0.56"
"smallMol_475"	"0.99"
"smallMol_476"	"2.4"
"smallMol_477"	"0.23"
"smallMol_478"	"1.8"
"smallMol_479"	"0.12"
"smallMol_480"	"0.12"
"smallMol_481"	"1.5"
"smallMol_482"	"1.5"
"smallMol_483"	"1.8"
"smallMol_484"	"0.21"
"smallMol_485"	"2.8"
"smallMol_486"	"0.38"
"smallMol_487"	"0.52"
"smallMol_488"	"1.4"
"smallMol_489"	13
"smallMol_490"	"0.58"
"smallMol_491"	"0.18"
"smallMol_492"	"1.5"
"smallMol_493"	"0.77"
"smallMol_494"	16
"smallMol_495"	"9.7"
"smallMol_496"	"0.7"
"smallMol_497"	"1.3"
"smallMol_498"	"0.75"
"smallMol_499"	"0.14"
"smallMol_500"	"0.22"
"smallMol_501"	"1.8"
"smallMol_502"	"0.54"
"smallMol_503"	"0.3"
"smallMol_504"	"4.4"
"smallMol_505"	"3.7"
"smallMol_506"	"0.11"
"smallMol_507"	"0.73"
"smallMol_508"	28
"smallMol_509"	"2.4"
"smallMol_510"	5
"smallMol_511"	23
"smallMol_512"	"2.2"
"smallMol_513"	"0.13"
"smallMol_514"	"0.64"
"smallMol_515"	"0.54"
"smallMol_516"	"1.3"
"smallMol_517"	"0.23"
"smallMol_518"	"1.8"
"smallMol_519"	1
"smallMol_520"	"0.6"
"smallMol_521"	"1.8"
"smallMol_522"	"0.54"
"smallMol_523"	"1.3"
"smallMol_524"	"0.3"
"smallMol_525"	"0.85"
"smallMol_526"	9
"smallMol_527"	"0.13"
"smallMol_528"	"0.13"
"smallMol_529"	"0.39"
"smallMol_530"	"0.08"
"smallMol_531"	"0.39"
"smallMol_532"	"0.088"
"smallMol_533"	"2.6"
"smallMol_534"	"4.6"
"smallMol_535"	"2.2"
"smallMol_536"	"7.1"
"smallMol_537"	"0.18"
"smallMol_538"	"1.6"
"smallMol_539"	"8.4"
"smallMol_540"	"1.2"
"smallMol_541"	"0.22"
"smallMol_542"	"0.69"
"smallMol_543"	"1.5"
"smallMol_544"	"0.5"
"smallMol_545"	"0.13"
"smallMol_546"	"0.086"
"smallMol_547"	"3.6"
"smallMol_548"	23
"smallMol_549"	"3.9"
"smallMol_550"	"0.22"
"smallMol_551"	"0.26"
"smallMol_552"	"7.9"
"smallMol_553"	"0.23"
"smallMol_554"	"4.4"
"smallMol_555"	"0.17"
"smallMol_556"	"0.27"
"smallMol_557"	"1.4"
"smallMol_558"	"4.9"
"smallMol_559"	"6.3"
"smallMol_560"	"1.8"
"smallMol_561"	"0.2"
"smallMol_562"	"0.41"
"smallMol_563"	"0.35"
"smallMol_564"	"2.2"
"smallMol_565"	"1.1"
"smallMol_566"	"1.4"
"smallMol_567"	"0.2"
"smallMol_568"	"1.5"
"smallMol_569"	"0.23"
"smallMol_570"	"5.3"
"smallMol_571"	3
"smallMol_572"	"0.83"
"smallMol_573"	"0.13"
"smallMol_574"	"0.28"
"smallMol_575"	"1.1"
"smallMol_576"	12
"smallMol_577"	4
"smallMol_578"	57
"smallMol_579"	25
"smallMol_580"	"0.45"
"smallMol_581"	3
"smallMol_582"	"0.5"
"smallMol_583"	12
"smallMol_584"	"0.57"
"smallMol_585"	"0.94"
"smallMol_586"	"2.5"
"smallMol_587"	"0.84"
"smallMol_588"	"0.25"
"smallMol_589"	"0.27"
"smallMol_590"	"0.23"
"smallMol_591"	"0.14"
"smallMol_592"	"0.58"
"smallMol_593"	"0.76"
"smallMol_594"	"0.14"
"smallMol_595"	"0.068"
"smallMol_596"	"1.1"
"smallMol_597"	"0.12"
"smallMol_598"	"0.12"
"smallMol_599"	"0.61"
"smallMol_600"	"2.3"
"smallMol_601"	"1.5"
"smallMol_602"	"0.15"
"smallMol_603"	"0.62"
"smallMol_604"	"3.1"
"smallMol_605"	11
"smallMol_606"	"0.17"
"smallMol_607"	"0.87"
"smallMol_608"	10
"smallMol_609"	"0.4"
"smallMol_610"	"0.21"
"smallMol_611"	"0.12"
"smallMol_612"	"0.36"
"smallMol_613"	"2.5"
"smallMol_614"	"0.31"
"smallMol_615"	"0.37"
"smallMol_616"	"0.56"
"smallMol_617"	"0.21"
"smallMol_618"	"1.2"
"smallMol_619"	"1.7"
"smallMol_620"	"0.76"
"smallMol_621"	"0.11"
"smallMol_622"	3
"smallMol_623"	"1.2"
"smallMol_624"	"4.4"
"smallMol_625"	1
"smallMol_626"	"0.19"
"smallMol_627"	"0.86"
"smallMol_628"	12
"smallMol_629"	"2.4"
"smallMol_630"	"0.3"
"smallMol_631"	"0.27"
"smallMol_632"	"0.46"
"smallMol_633"	"0.3"
